,mmol/s/m2,mmol/s/m2,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,,Kg,Kg,%,%,%,%,Kg,Kg,Kg,Kg,Kg,Kg,Kg,Kg
Days, E, g_leaf, P_leaf_symplasmic,  P_leaf_apoplasmic, P_branch_s, P_branch_a, P_trunk_s, P_trunk_a, P_root_s, P_root_a, P_soil, REW, Q_H20_plant, DQ_soil, PLC_leaf, PLC_branch, PLC_trunk, PLC_root, Q_H20_leaf_s, Q_leaf_a, Q_branch_s, Q_branch_a, Q_trunk_s, Q_trunk_a, Q_root_s, Q_root_a
54.65,0.01738852,2,-5.847806,-5.844,-5.449402,-5.449452,-5.361615,-5.361865,-5.242106,-5.298202,-5.182722,0.1851082,0.03976191,5.880137,99.66251,99.26004,99.11962,99.0013,0.009618897,5.80401E-05,0.003211421,5.80649E-05,0.01958346,0.000404759,0.006676543,0.000150724
55.65,0.01659587,2,-9.562772,-9.562729,-5.354011,-5.353981,-5.352015,-5.35186,-5.335449,-5.343394,-5.321468,0.1842718,0.03590238,5.888775,99.9998,99.31052,99.18682,99.1332,0.005882127,7.02539E-06,0.003268638,5.48676E-05,0.01961858,0.000378224,0.006559739,0.000133175
56.65,0.001511027,2,-109.9967,-109.9965,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,0.1843619,0.0304114,5.888907,100,99.31052,99.18682,99.1332,0.000511374,-0.000244081,0.003286485,5.49087E-05,0.01971834,0.000378455,0.006572688,0.000133228
57.65,0.001409997,2,-110.9762,-110.9761,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,0.1843619,0.03040444,5.888907,100,99.31052,99.18682,99.1332,0.00050686,-0.00024653,0.003286485,5.49087E-05,0.01971834,0.000378455,0.006572688,0.000133228
58.65,0.001409934,2,-110.977,-110.9768,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,0.1843619,0.03040443,5.888907,100,99.31052,99.18682,99.1332,0.000506857,-0.000246532,0.003286485,5.49087E-05,0.01971834,0.000378455,0.006572688,0.000133228
59.65,0.001409874,2,-110.9777,-110.9775,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,0.1843619,0.03040443,5.888907,100,99.31052,99.18682,99.1332,0.000506854,-0.000246534,0.003286485,5.49087E-05,0.01971834,0.000378455,0.006572688,0.000133228
60.65,0.001409814,2,-110.9784,-110.9782,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,0.1843619,0.03040442,5.888907,100,99.31052,99.18682,99.1332,0.00050685,-0.000246535,0.003286485,5.49087E-05,0.01971834,0.000378455,0.006572688,0.000133228
61.65,0.001409748,2,-110.9791,-110.979,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,0.1843619,0.03040442,5.888907,100,99.31052,99.18682,99.1332,0.000506847,-0.000246537,0.003286485,5.49087E-05,0.01971834,0.000378455,0.006572688,0.000133228
62.649999,0.001409688,2,-110.9798,-110.9797,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,0.1843619,0.03040441,5.888907,100,99.31052,99.18682,99.1332,0.000506844,-0.000246539,0.003286485,5.49087E-05,0.01971834,0.000378455,0.006572688,0.000133228
63.649999,0.001409628,2,-110.9805,-110.9804,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,0.1843619,0.03040441,5.888907,100,99.31052,99.18682,99.1332,0.000506841,-0.000246541,0.003286485,5.49087E-05,0.01971834,0.000378455,0.006572688,0.000133228
64.649999,0.001409568,2,-110.9812,-110.9811,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,-5.324937,0.1843619,0.0304044,5.888907,100,99.31052,99.18682,99.1332,0.000506837,-0.000246543,0.003286485,5.49087E-05,0.01971834,0.000378455,0.006572688,0.000133228
